property_id,check_in_date,room_category,successful_bookings,capacity
17559,2022-05-05,RT1,21,32
17562,2022-05-05,RT1,8,20
17563,2022-05-05,RT1,18,25
18558,2022-05-05,RT1,8,15
18559,2022-05-05,RT1,16,42
18561,2022-05-05,RT1,25,33
18562,2022-05-05,RT1,24,38
18563,2022-05-05,RT1,14,27
19559,2022-05-05,RT1,13,24
19561,2022-05-05,RT1,17,36
17564,2022-05-05,RT1,6,16
19562,2022-05-05,RT2,15,23
18563,2022-05-05,RT2,14,29
17561,2022-05-05,RT2,25,36
17558,2022-05-05,RT2,29,50
16562,2022-05-05,RT2,20,43
16561,2022-05-05,RT2,15,24
16558,2022-05-05,RT2,13,22
19560,2022-05-05,RT2,27,38
16563,2022-05-05,RT2,25,38
16559,2022-05-05,RT2,24,41
19559,2022-05-05,RT2,23,41
19558,2022-05-05,RT2,20,39
17559,2022-05-05,RT2,26,39
16560,2022-05-05,RT2,19,34
18562,2022-05-05,RT2,22,34
18559,2022-05-05,RT2,22,44
17563,2022-05-05,RT2,28,44
17562,2022-05-05,RT2,13,30
18558,2022-05-05,RT2,15,30
17564,2022-05-05,RT2,18,40
18561,2022-05-05,RT2,26,40
18560,2022-05-05,RT2,26,40
17560,2022-05-05,RT2,20,45
19561,2022-05-05,RT2,21,45
19563,2022-05-05,RT2,22,45
19563,2022-05-05,RT3,14,29
19562,2022-05-05,RT3,19,29
19561,2022-05-05,RT3,14,29
18562,2022-05-05,RT3,18,29
17558,2022-05-05,RT3,14,27
17562,2022-05-05,RT3,11,27
19559,2022-05-05,RT3,14,27
16559,2022-05-05,RT3,20,32
16558,2022-05-05,RT3,4,8
18561,2022-05-05,RT3,15,25
18560,2022-05-05,RT3,16,24
17560,2022-05-05,RT3,13,25
16563,2022-05-05,RT3,14,20
16562,2022-05-05,RT3,9,18
19558,2022-05-05,RT3,9,21
16560,2022-05-05,RT3,10,20
17559,2022-05-05,RT3,10,16
17563,2022-05-05,RT3,10,16
18559,2022-05-05,RT3,10,23
16561,2022-05-05,RT3,12,21
18558,2022-05-05,RT3,12,26
19560,2022-05-05,RT3,12,19
17564,2022-05-05,RT3,12,24
17561,2022-05-05,RT3,11,19
18563,2022-05-05,RT3,11,23
19559,2022-05-05,RT4,2,3
16558,2022-05-05,RT4,2,3
16560,2022-05-05,RT4,4,7
19561,2022-05-05,RT4,4,7
18561,2022-05-05,RT4,5,9
16561,2022-05-05,RT4,6,10
17560,2022-05-05,RT4,6,13
17564,2022-05-05,RT4,7,17
18560,2022-05-05,RT4,10,15
19560,2022-05-05,RT4,10,16
18559,2022-05-05,RT4,8,19
17563,2022-05-05,RT4,12,19
19562,2022-05-05,RT4,9,14
17559,2022-05-05,RT4,8,14
18558,2022-05-05,RT4,11,20
18562,2022-05-05,RT4,12,20
18563,2022-05-05,RT4,10,18
16563,2022-05-05,RT4,12,18
16559,2022-05-05,RT4,13,18
16562,2022-05-05,RT4,3,6
17558,2022-05-05,RT4,3,6
17562,2022-05-05,RT4,3,6
19563,2022-05-05,RT4,3,6
19558,2022-05-05,RT4,3,7
17561,2022-05-05,RT4,3,4
16559,2022-05-06,RT1,21,30
18560,2022-05-06,RT1,20,30
19562,2022-05-06,RT1,18,30
19563,2022-05-06,RT1,15,30
17558,2022-05-06,RT1,9,19
16558,2022-05-06,RT1,10,19
17560,2022-05-06,RT1,18,40
19558,2022-05-06,RT1,18,40
19560,2022-05-06,RT1,17,26
17561,2022-05-06,RT1,16,26
16560,2022-05-06,RT1,19,34
16561,2022-05-06,RT1,12,18
16562,2022-05-06,RT1,14,31
16563,2022-05-06,RT1,23,41
17559,2022-05-06,RT1,19,32
17562,2022-05-06,RT1,8,20
17563,2022-05-06,RT1,14,25
18558,2022-05-06,RT1,7,15
18559,2022-05-06,RT1,18,42
18561,2022-05-06,RT1,23,33
18562,2022-05-06,RT1,24,38
18563,2022-05-06,RT1,12,27
19559,2022-05-06,RT1,14,24
19561,2022-05-06,RT1,20,36
17564,2022-05-06,RT1,7,16
19562,2022-05-06,RT2,18,23
18563,2022-05-06,RT2,15,29
17561,2022-05-06,RT2,20,36
17558,2022-05-06,RT2,29,50
16562,2022-05-06,RT2,24,43
16561,2022-05-06,RT2,14,24
16558,2022-05-06,RT2,15,22
19560,2022-05-06,RT2,22,38
16563,2022-05-06,RT2,27,38
16559,2022-05-06,RT2,23,41
19559,2022-05-06,RT2,20,41
19558,2022-05-06,RT2,14,39
17559,2022-05-06,RT2,25,39
16560,2022-05-06,RT2,18,34
18562,2022-05-06,RT2,26,34
18559,2022-05-06,RT2,20,44
17563,2022-05-06,RT2,28,44
17562,2022-05-06,RT2,12,30
18558,2022-05-06,RT2,17,30
17564,2022-05-06,RT2,18,40
18561,2022-05-06,RT2,23,40
18560,2022-05-06,RT2,24,40
17560,2022-05-06,RT2,22,45
19561,2022-05-06,RT2,24,45
19563,2022-05-06,RT2,23,45
19563,2022-05-06,RT3,14,29
19562,2022-05-06,RT3,20,29
19561,2022-05-06,RT3,13,29
18562,2022-05-06,RT3,21,29
17558,2022-05-06,RT3,12,27
17562,2022-05-06,RT3,10,27
19559,2022-05-06,RT3,13,27
16559,2022-05-06,RT3,20,32
16558,2022-05-06,RT3,5,8
18561,2022-05-06,RT3,17,25
16563,2022-05-06,RT3,15,20
17561,2022-05-06,RT3,13,19
19560,2022-05-06,RT3,13,19
18558,2022-05-06,RT3,14,26
18560,2022-05-06,RT3,14,24
16562,2022-05-06,RT3,9,18
18559,2022-05-06,RT3,9,23
17563,2022-05-06,RT3,10,16
19558,2022-05-06,RT3,10,21
17564,2022-05-06,RT3,10,24
16561,2022-05-06,RT3,12,21
17560,2022-05-06,RT3,12,25
18563,2022-05-06,RT3,12,23
16560,2022-05-06,RT3,11,20
17559,2022-05-06,RT3,11,16
17562,2022-05-06,RT4,2,6
19559,2022-05-06,RT4,2,3
16558,2022-05-06,RT4,2,3
16560,2022-05-06,RT4,4,7
18561,2022-05-06,RT4,4,9
17560,2022-05-06,RT4,5,13
16561,2022-05-06,RT4,6,10
17564,2022-05-06,RT4,7,17
18560,2022-05-06,RT4,9,15
19560,2022-05-06,RT4,9,16
18559,2022-05-06,RT4,9,19
17563,2022-05-06,RT4,12,19
19562,2022-05-06,RT4,8,14
17559,2022-05-06,RT4,8,14
18558,2022-05-06,RT4,11,20
18562,2022-05-06,RT4,14,20
18563,2022-05-06,RT4,9,18
16563,2022-05-06,RT4,11,18
16559,2022-05-06,RT4,11,18
16562,2022-05-06,RT4,3,6
17558,2022-05-06,RT4,3,6
19563,2022-05-06,RT4,3,6
19558,2022-05-06,RT4,3,7
19561,2022-05-06,RT4,3,7
17561,2022-05-06,RT4,3,4
19563,2022-05-07,RT3,20,29
18560,2022-05-07,RT1,28,30
19562,2022-05-07,RT1,28,30
19563,2022-05-07,RT1,21,30
17558,2022-05-07,RT1,15,19
16558,2022-05-07,RT1,17,19
17560,2022-05-07,RT1,31,40
19558,2022-05-07,RT1,22,40
19560,2022-05-07,RT1,26,26
17561,2022-05-07,RT1,22,26
16560,2022-05-07,RT1,26,34
16561,2022-05-07,RT1,15,18
16562,2022-05-07,RT1,25,31
16563,2022-05-07,RT1,37,41
17559,2022-05-07,RT1,29,32
17562,2022-05-07,RT1,13,20
17563,2022-05-07,RT1,21,25
18558,2022-05-07,RT1,11,15
18559,2022-05-07,RT1,22,42
18561,2022-05-07,RT1,28,33
18562,2022-05-07,RT1,33,38
18563,2022-05-07,RT1,20,27
19559,2022-05-07,RT1,18,24
19561,2022-05-07,RT1,26,36
17564,2022-05-07,RT1,9,16
19562,2022-05-07,RT2,22,23
18563,2022-05-07,RT2,20,29
17561,2022-05-07,RT2,30,36
17558,2022-05-07,RT2,39,50
16562,2022-05-07,RT2,31,43
16561,2022-05-07,RT2,21,24
16558,2022-05-07,RT2,18,22
19560,2022-05-07,RT2,33,38
16563,2022-05-07,RT2,37,38
16559,2022-05-07,RT2,36,41
19559,2022-05-07,RT2,28,41
19558,2022-05-07,RT2,23,39
17559,2022-05-07,RT2,33,39
16560,2022-05-07,RT2,24,34
18562,2022-05-07,RT2,28,34
18559,2022-05-07,RT2,28,44
17563,2022-05-07,RT2,39,44
17562,2022-05-07,RT2,16,30
18558,2022-05-07,RT2,22,30
17564,2022-05-07,RT2,21,40
18561,2022-05-07,RT2,40,40
18560,2022-05-07,RT2,38,40
17560,2022-05-07,RT2,31,45
19561,2022-05-07,RT2,34,45
19563,2022-05-07,RT2,31,45
16559,2022-05-07,RT1,28,30
19562,2022-05-07,RT3,26,29
19561,2022-05-07,RT3,22,29
18562,2022-05-07,RT3,29,29
17558,2022-05-07,RT3,19,27
17562,2022-05-07,RT3,16,27
19559,2022-05-07,RT3,20,27
16559,2022-05-07,RT3,28,32
16558,2022-05-07,RT3,7,8
17560,2022-05-07,RT3,18,25
18561,2022-05-07,RT3,21,25
16561,2022-05-07,RT3,20,21
16563,2022-05-07,RT3,17,20
17561,2022-05-07,RT3,19,19
18558,2022-05-07,RT3,19,26
18560,2022-05-07,RT3,20,24
18563,2022-05-07,RT3,18,23
19560,2022-05-07,RT3,16,19
17563,2022-05-07,RT3,15,16
18559,2022-05-07,RT3,15,23
17564,2022-05-07,RT3,15,24
16560,2022-05-07,RT3,14,20
16562,2022-05-07,RT3,14,18
17559,2022-05-07,RT3,14,16
19558,2022-05-07,RT3,12,21
19559,2022-05-07,RT4,2,3
16562,2022-05-07,RT4,4,6
19558,2022-05-07,RT4,4,7
17561,2022-05-07,RT4,4,4
16560,2022-05-07,RT4,5,7
17558,2022-05-07,RT4,5,6
19561,2022-05-07,RT4,5,7
19563,2022-05-07,RT4,5,6
16561,2022-05-07,RT4,9,10
17560,2022-05-07,RT4,10,13
18561,2022-05-07,RT4,8,9
17564,2022-05-07,RT4,12,17
18560,2022-05-07,RT4,14,15
19560,2022-05-07,RT4,16,16
18559,2022-05-07,RT4,13,19
17563,2022-05-07,RT4,16,19
19562,2022-05-07,RT4,13,14
17559,2022-05-07,RT4,14,14
18558,2022-05-07,RT4,15,20
18562,2022-05-07,RT4,19,20
18563,2022-05-07,RT4,12,18
16563,2022-05-07,RT4,15,18
16559,2022-05-07,RT4,16,18
17562,2022-05-07,RT4,3,6
16558,2022-05-07,RT4,3,3
16559,2022-05-08,RT1,28,30
18560,2022-05-08,RT1,25,30
19562,2022-05-08,RT1,27,30
19563,2022-05-08,RT1,22,30
17558,2022-05-08,RT1,15,19
16558,2022-05-08,RT1,18,19
17560,2022-05-08,RT1,29,40
19558,2022-05-08,RT1,23,40
19560,2022-05-08,RT1,22,26
17561,2022-05-08,RT1,26,26
16560,2022-05-08,RT1,26,34
16561,2022-05-08,RT1,15,18
16562,2022-05-08,RT1,23,31
16563,2022-05-08,RT1,39,41
17559,2022-05-08,RT1,31,32
17562,2022-05-08,RT1,12,20
17563,2022-05-08,RT1,20,25
18558,2022-05-08,RT1,12,15
18559,2022-05-08,RT1,25,42
18561,2022-05-08,RT1,28,33
18562,2022-05-08,RT1,34,38
18563,2022-05-08,RT1,19,27
19559,2022-05-08,RT1,18,24
19561,2022-05-08,RT1,26,36
17564,2022-05-08,RT1,10,16
19562,2022-05-08,RT2,23,23
18563,2022-05-08,RT2,20,29
17561,2022-05-08,RT2,32,36
17558,2022-05-08,RT2,38,50
16562,2022-05-08,RT2,31,43
16561,2022-05-08,RT2,21,24
16558,2022-05-08,RT2,20,22
19560,2022-05-08,RT2,33,38
16563,2022-05-08,RT2,33,38
16559,2022-05-08,RT2,39,41
19559,2022-05-08,RT2,29,41
19558,2022-05-08,RT2,23,39
17559,2022-05-08,RT2,35,39
16560,2022-05-08,RT2,25,34
18562,2022-05-08,RT2,32,34
18559,2022-05-08,RT2,25,44
17563,2022-05-08,RT2,37,44
17562,2022-05-08,RT2,19,30
18558,2022-05-08,RT2,22,30
17564,2022-05-08,RT2,25,40
18561,2022-05-08,RT2,40,40
18560,2022-05-08,RT2,35,40
17560,2022-05-08,RT2,32,45
19561,2022-05-08,RT2,33,45
19563,2022-05-08,RT2,32,45
19563,2022-05-08,RT3,21,29
19562,2022-05-08,RT3,24,29
19561,2022-05-08,RT3,22,29
18562,2022-05-08,RT3,27,29
17558,2022-05-08,RT3,21,27
17562,2022-05-08,RT3,15,27
19559,2022-05-08,RT3,20,27
16559,2022-05-08,RT3,30,32
17560,2022-05-08,RT3,19,25
18561,2022-05-08,RT3,22,25
16561,2022-05-08,RT3,18,21
16563,2022-05-08,RT3,18,20
17561,2022-05-08,RT3,17,19
17563,2022-05-08,RT3,16,16
18558,2022-05-08,RT3,20,26
18560,2022-05-08,RT3,24,24
18563,2022-05-08,RT3,18,23
19560,2022-05-08,RT3,16,19
16560,2022-05-08,RT3,15,20
17559,2022-05-08,RT3,15,16
17564,2022-05-08,RT3,15,24
16558,2022-05-08,RT3,8,8
19558,2022-05-08,RT3,13,21
16562,2022-05-08,RT3,14,18
18559,2022-05-08,RT3,14,23
